R,V
850.029015,0.112832
850.290154,0.111695
852.245896,0.112078
855.850584,0.109776
856.189633,0.110465
858.930853,0.107917
858.985882,0.107537
863.433258,0.104532
863.493583,0.104497
866.881119,0.100393
866.935914,0.100352
870.234825,0.095555
870.288164,0.095675
874.285485,0.090314
874.65267,0.089872
878.506976,0.084073
879.131403,0.083336
881.647011,0.077148
882.530162,0.075886
884.809193,0.069036
885.157498,0.067694
889.71311,0.060541
890.336695,0.059117
892.234252,0.05147
893.755585,0.049766
896.297498,0.041981
897.146438,0.040144
900.424779,0.032542
900.802566,0.030877
903.550349,0.023737
903.955138,0.022373
907.254174,0.016144
907.406211,0.01503
910.714079,0.010112
911.669807,0.00927
915.058203,0.005331
915.202431,0.00582
918.518172,0.002707
918.549251,0.003006
922.175571,0.001248
923.126704,0.001056
925.586928,0.00031
926.415902,0.000226
930.152982,0.000211
930.278562,0.000154
934.344945,0.000779
934.426402,0.00102
937.901923,0.002733
937.910602,0.002276
942.130656,0.004813
942.734265,0.005719
945.781973,0.010282
945.891209,0.008891
950.275366,0.017076
950.388773,0.01507
952.923482,0.023102
953.586484,0.026276
955.842915,0.032836
958.390783,0.037075
960.102593,0.043529
962.705285,0.047976
963.382079,0.054339
965.098511,0.05875
967.375438,0.064185
969.137931,0.069184
971.210704,0.073459
972.219955,0.078782
974.320931,0.082212
977.278549,0.086819
979.430394,0.089836
981.242562,0.093903
982.583083,0.096428
984.968044,0.099983
986.161048,0.101291
989.010024,0.104944
991.011793,0.105731
992.576818,0.108485
994.112433,0.108595
996.49314,0.111017
998.045896,0.110982
1000.85535,0.11249
1002.06346,0.112036
1003.26241,0.113235
1007.261755,0.113143
1009.883755,0.112453
1010.16729,0.111191
1010.437125,0.112037
1013.662408,0.109804
1014.559487,0.110016
1017.465422,0.107037
1017.985135,0.107039
1020.22543,0.103724
1021.904397,0.103439
1021.924302,0.102414
1025.425262,0.098972
1025.452065,0.099398
1025.62612,0.097755
1028.67227,0.094447
1029.0042,0.093555
1029.649495,0.091935
1032.15579,0.088668
1033.068275,0.085583
1033.096675,0.087523
1035.785185,0.081872
1036.426513,0.08085
1037.46984,0.078795
1039.184758,0.074637
1039.86731,0.073517
1040.87172,0.071161
1043.430357,0.064863
1043.497295,0.066486
1044.32189,0.06269
1046.659672,0.057894
1047.825473,0.055803
1048.70691,0.05349
1050.77455,0.048572
1051.181835,0.046592
1051.251917,0.044147
1054.465422,0.039178
1054.50283,0.037305
1055.792917,0.034822
1057.916775,0.030109
1058.022085,0.027867
1058.958597,0.025755
1062.358445,0.019429
1063.338805,0.017819
1065.030335,0.013864
